Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_ER_RCP85_3_CDD_30_20,World,Temperature Anomaly,K,0.489235549784,0.5107071497614999,0.6763216597120999,0.6782961723066999,0.874043130032,0.9643839607007001,1.06040184326,1.230201152229,1.372409898823,1.587499323394,1.7559554885720001,1.9404655687619998,2.1606507085169997,2.3340813533299998,2.5266809099809997,2.662228003753,2.8098397565389996,2.9240026039869997,3.068657665376,3.180430664526,3.2941987403760002,3.4145249977159997,3.509553000164,3.6164656193469997,3.6885990994089997,3.781821111513,3.847704144774,3.953236247213,4.003464379497,4.099771711655,4.163204577634,4.255850311585,4.324803303252,4.423106378953,4.502947011043
FRIDAv2.1,HD_ER_RCP85_3_CDD_30_20,World,CO2 Emissions,MtCO2/Year,26418.382643499997,25226.70430747,26610.98875035,28764.73985119,31126.82940001,35595.708955789996,38601.917367789996,41131.00739773,42498.92003972,44864.79298706,45073.14887182,42613.96199142,38534.76698256,36059.364906899995,34228.93625329,34005.899427079996,33744.17500334,33278.54171567,31592.63348021,29732.578626489998,28010.29645328,28372.03650654,29269.059061329997,29211.521025089998,30402.86921908,31108.789037119997,31005.07217109,32314.446761220002,32864.10153491,33446.841064119995,34840.468645169996,36303.560569149995,37721.35940048999,39062.12049478,40520.67512081
FRIDAv2.1,HD_ER_RCP85_3_CDD_30_20,World,CO2 Emissions|Energy,MtCO2/Year,18847.77803195,19116.45125718,20463.31843694,22801.572339230002,25376.085570919997,29308.16726559,32099.21437259,34264.77348805,35546.688790550004,37468.22183096,37979.89764905,34249.68511619,29744.44767133,25996.33817705,22836.69482833,20316.153491520003,18521.15186471,17310.123867780003,16557.796053320002,15881.895506390001,15167.25704467,14889.87266384,15191.49776079,15695.21855873,16053.04733525,16302.25807742,16587.2733004,16959.857089869998,17429.18515573,18220.314721779996,19147.660177910002,20418.194907309997,21669.52719285,23090.73428529,24383.08072079
FRIDAv2.1,HD_ER_RCP85_3_CDD_30_20,World,CO2 Emissions|Food and Land Use,MtCO2/Year,7195.469298491,5900.326348989999,5881.153898656,5633.619102201999,5182.006698413,5513.196164932,5351.911510481,5422.413511588,5207.120326851,5336.032517042,4833.3317356570005,5477.715014738,5820.8813371940005,6970.694602648,8101.620466063,10400.42757159,11609.687412209996,11665.82389719,10436.98324736,8754.146641219999,7743.843371263,7840.610272559999,8025.289843367999,7931.1123946,7795.850368265999,7613.0718879490005,7363.847930990999,7328.084218698,7467.172488994,7497.513681918,7816.841816979,8043.458575162,7987.155628463,8156.930208113,8222.301602720998
FRIDAv2.1,HD_ER_RCP85_3_CDD_30_20,World,Capacity|Electricity|Solar,GW,0.745,0.6556544283527,0.5589871446327,0.4445817185001,5.0065953322359995,34.67755340577,56.63278228578,149.3797680763,521.0408406087998,1698.611603244,3275.7974127499997,4177.191858089,5396.989968094001,7445.223832551998,9638.252762454,12557.470907739997,15467.71236884,18214.624472069998,20657.402457669996,22860.792431839996,24607.19904254,26184.227243179997,27381.406284229997,28786.80768917,30420.37903592999,31821.410279489995,33397.06734641,34642.19231475,36031.548952959994,36733.398726039995,36940.45262856,37446.2188537,37786.41671958,38909.52606903,40067.57052001
FRIDAv2.1,HD_ER_RCP85_3_CDD_30_20,World,Capacity|Electricity|Wind,GW,0.745,0.6556546466068001,0.558988014887,0.46548053263209993,0.5021916826287,17.87891893013,146.6908476998,463.8268777954,935.8331089971999,2948.3528935439995,5888.07688602,7302.579954449,8725.948402184998,11281.2335742,13828.807769299998,16722.07490819,19939.04865808,22859.8098513,24793.93694164,26483.05463826,27797.399466990002,28725.018961489997,29512.578507899998,30410.271212530002,31735.72300932,33230.08175175,34001.15282485,35125.47100281,35747.81877221,36200.860771139996,36371.45721847,36624.058131109996,37337.52159387,38146.65841726,38955.48480721
FRIDAv2.1,HD_ER_RCP85_3_CDD_30_20,World,Capacity|Biomass,Mt/Year,6.380505104,22.04082521919,20.23563927032,33.020604250110004,45.919832073479995,55.68719990589,137.67946290089998,191.6700380822,247.5955218483,376.39675787330003,366.2171408457,487.26024998229997,812.8968499583,1531.286264932,2404.125541699,3721.503505579,5311.653888365,6876.274867504999,8132.493543461999,9149.771187606,9852.225452364999,10807.09401013,12100.80870551,13473.86572878,14729.63673639,15870.853559409998,16845.24805032,17890.12710015,19048.68220194,20424.637482559996,21887.123452859996,23373.58595166,24903.02361187,26080.09613305,27582.335076039995
FRIDAv2.1,HD_ER_RCP85_3_CDD_30_20,World,Production|Biomass,Mt/Year,5.666528827789,19.79462564992,18.30225984044,29.82936383525,42.15898320669,50.331489529989994,125.2674374327,176.4656698856,228.35542655339998,347.66566829429996,347.9396243558,448.59178723590003,746.1110775788,1381.060592852,2153.460715678,3215.4446684189998,4626.004308031,6142.816736946,7603.7373058250005,8764.480051896999,9535.485508183,10414.167667970001,11592.14312999,12953.19350363,14211.62151228,15398.955761689998,16367.29635469,17391.94277518,18535.93036472,19767.01899398,21164.046960879998,22693.756533660002,24244.083413189997,25528.307386409997,26934.201853799997
FRIDAv2.1,HD_ER_RCP85_3_CDD_30_20,World,Capacity|Coal,c$,2213259000000.0,2165987257103.0,2238305470891.0,2530673082199.0,2866573501075.0,3455790062908.0,3921117228353.0,4079574690397.0,4157529759342.0,4420361935685.0,4463825349307.0,3734116450661.0,2907799860093.0,2260945218095.0,1750166131012.0,1353383882666.0,1044419995729.0,805041308469.1,619719072470.4,476763684063.89996,366438979810.6,282084131154.9,219058727539.19998,168877529349.1,129694856791.3,99674509831.98,76517111184.58,58724748141.64,45247871232.229996,34931607997.450005,27094852249.01,21018227648.18,16301212771.7,12625233637.93,9738035867.907001
FRIDAv2.1,HD_ER_RCP85_3_CDD_30_20,World,Capacity|Gas,c$,2106663500000.0,2304971985579.0,2676869148461.0,3122562032959.0,3465894848030.0,3895413545830.0,4184383530268.0,4657602945966.0,5035073206570.0,5478390873014.0,5748541324952.0,5886202215713.0,5852747161278.0,5737444922687.0,5547412535112.0,5256748444750.0,4895589876960.0,4533610771503.0,4132334878014.0,3749672127597.0,3382661869444.0,3105873101362.0,2968518325709.0,2894878031473.9995,2815344255562.0,2729919311800.0,2628475216792.0,2490654031090.0,2344509855681.0,2206274428152.0,2094039581057.0,1970386995441.0,1854221153232.0,1742962172962.0,1641473402302.0
